2025-03-06 14:14:41.715 [info] Starting Python Locator /home/soufian/.vscode-server/extensions/ms-python.python-2025.0.0-linux-x64/python-env-tools/bin/pet server
2025-03-06 14:14:43.078 [info] Discovered env: /bin/python3
2025-03-06 14:14:43.107 [info] Discovered env: /usr/bin/python3
2025-03-06 14:14:43.194 [info] Resolved Python Environment /bin/python3
2025-03-06 14:14:50.620 [info] Locator Conda took 10.456155965s
2025-03-06 14:14:50.620 [info] Locator Homebrew took 2.183095ms
2025-03-06 14:14:50.620 [info] Locator LinuxGlobal took 172.695933ms
2025-03-06 14:14:50.620 [info] Locator PipEnv took 723.728µs
2025-03-06 14:14:50.620 [info] Locator Poetry took 79.336262ms
2025-03-06 14:14:50.620 [info] Locator PyEnv took 64.604708ms
2025-03-06 14:14:50.620 [info] Locator Venv took 552.068µs
2025-03-06 14:14:50.620 [info] Locator VirtualEnv took 609.386µs
2025-03-06 14:14:50.620 [info] Locator VirtualEnvWrapper took 337.708µs
2025-03-06 14:14:50.620 [info] Locator GlobalVirtualEnvs took 5.422766ms
2025-03-06 14:14:50.620 [info] Locator Locators took 10.45743656s
2025-03-06 14:14:50.620 [info] Locator Path took 575.383583ms
2025-03-06 14:14:50.620 [info] Locator Workspaces took 11.36126ms
2025-03-06 14:14:50.620 [info] Refresh completed in 10457ms
